date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:05:05	236923/236923	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:00%20GMT	http://mormonthink.com/temple.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/temple.html	(from http://mormonthink.com/)
04:05:06	159892/159892	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:03%20GMT	http://mormonthink.com/lying.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/lying.html	(from http://mormonthink.com/)
04:05:07	77959/77959	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:06%20GMT	http://mormonthink.com/wow.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/wow.html	(from http://mormonthink.com/)
04:05:09	173395/173395	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:07%20GMT	http://mormonthink.com/d&c.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/d&c.html	(from http://mormonthink.com/)
04:05:11	235922/235922	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:08%20GMT	http://mormonthink.com/testimonyweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/testimonyweb.html	(from http://mormonthink.com/)
04:05:13	13316/13316	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:11%20GMT	http://mormonthink.com/responses.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/responses.html	(from http://mormonthink.com/)
04:05:15	48051/48051	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:14%20GMT	http://mormonthink.com/introductionweb.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/introductionweb.html	(from http://mormonthink.com/)
04:05:15	29491/29491	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:14%20GMT	http://mormonthink.com/whoarewe.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/whoarewe.html	(from http://mormonthink.com/)
04:05:17	60132/60132	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:16%20GMT	http://mormonthink.com/endpage.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/endpage.html	(from http://mormonthink.com/)
04:05:18	17138/17138	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:17%20GMT	http://mormonthink.com/glossary/index.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/index.html	(from http://mormonthink.com/)
04:05:19	17488/17488	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:18%20GMT	http://mormonthink.com/QUOTES/mormonquotes.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/QUOTES/mormonquotes.html	(from http://mormonthink.com/)
04:05:19	15067/15067	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:19%20GMT	http://mormonthink.com/personalstories.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/personalstories.html	(from http://mormonthink.com/)
04:05:20	13873/13873	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:19%20GMT	http://mormonthink.com/mormonstories.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/mormonstories.html	(from http://mormonthink.com/)
04:05:22	82290/82290	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:20%20GMT	http://mormonthink.com/books.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/books.html	(from http://mormonthink.com/)
04:05:23	23775/23775	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:20%20GMT	http://mormonthink.com/youtube.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/youtube.html	(from http://mormonthink.com/)
04:05:23	17698/17698	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:22%20GMT	http://mormonthink.com/dvd.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/dvd.html	(from http://mormonthink.com/)
04:05:24	36213/36213	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:23%20GMT	http://mormonthink.com/ldslinks.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/ldslinks.html	(from http://mormonthink.com/)
04:05:27	266666/266666	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:24%20GMT	http://mormonthink.com/fair.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/fair.html	(from http://mormonthink.com/)
04:05:28	33441/33441	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:25%20GMT	http://mormonthink.com/essays-responses-intro.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-responses-intro.html	(from http://mormonthink.com/)
04:05:29	67594/67594	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:28%20GMT	http://mormonthink.com/essays-race-priesthood.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-race-priesthood.html	(from http://mormonthink.com/)
04:05:30	61894/61894	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:29%20GMT	http://mormonthink.com/essays-plural-marriage.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-plural-marriage.html	(from http://mormonthink.com/)
04:05:31	183895/183895	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:29%20GMT	http://mormonthink.com/essays-plural-marriage-in-kirtland-and-nauvoo.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-plural-marriage-in-kirtland-and-nauvoo.html	(from http://mormonthink.com/)
04:05:33	11535/11535	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:31%20GMT	http://mormonthink.com/essays-manifesto.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-manifesto.html	(from http://mormonthink.com/)
04:05:34	11575/11575	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:33%20GMT	http://mormonthink.com/essays-first-vision.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-first-vision.html	(from http://mormonthink.com/)
04:05:35	107257/107257	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:34%20GMT	http://mormonthink.com/essays-bom-translation.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-bom-translation.html	(from http://mormonthink.com/)
04:05:36	14687/14687	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:34%20GMT	http://mormonthink.com/essays-bom-dna.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-bom-dna.html	(from http://mormonthink.com/)
04:05:38	78396/78396	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:36%20GMT	http://mormonthink.com/essays-book-of-abraham.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-book-of-abraham.html	(from http://mormonthink.com/)
04:05:38	35313/35313	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:37%20GMT	http://mormonthink.com/essays-mother-in-heaven.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-mother-in-heaven.html	(from http://mormonthink.com/)
